1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Sasi, 2017, Why we say liquid limit at 25 blows? What is the reason?
	Naresh, 2017, I think aprox 65 is correct.
	Hatem Alhamaidi, 2017, Answer is: $%  $% LL = 61.7 % by interpolation.
	Hemant Maher, 2017, W1=10, W2=20, N1=70, N2=100. $%  $% So, $% I = (w2-w1)/log(n2/n1). $% I = 64.51= 65%.
	Tomin Nyodu, 2017, @Hemant Mahar. $%  $% Method 1 $% I = (w1-w2) /log(n2/n1) $% I=  (70-20)/log(100/10) $% I= 50  $%  $% Hence, the ans is option (b)  $%  $% Method 2 $% W1=70(10/25)^0.121=62.65 $% W2=20(100/25)^0.121=23.65 $%  $% W1-W2=38.99 (Wrong)  $% Why? This is an empherical Formula and the value of the exponent is between 0.068 to 1.210.
	Amit, 2017, Answer is 35.
	Deepak, 2017, Thanks for your answers.
	Dhanraj Khatik, 2017, Use interpolation. $%  $% y-0.70=[(0.20-0.70)/(100-10)]*(25-10). $% y=62%  ans.
	Surya Dev, 2017, By interpolation, we can find the liquid limit corresponding 25 no of blows do not for the gate to take no of blows on lag scale.
	Sumeet Kulkarni, 2017, @Pratima Yadav. $%  $% The formula you put is right but followed that formula we supposed to get 39 (62.56-23.56) this option was not given.
	Shubham Suroliya, 2017, By taking interpolation, $% Find value at 25 blows. $% And answer is 61.66%.
	Prasenjit, 2017, (W1-w2)log (n2/n1). $% (70-20) log 100/10. $% 50 per Answer.
	Garry, 2017, Answer is 50%.
	Narayan, 2017, How do you get 89.55 by this formula? $%  $% = W*(N/25)^0.121.
	Narendra Katara, 2017, Answer is 50. $%  $% For a particular soil, slope does not change in flow index curve to determine the liquid limit for a soil. In this question flow index is also 50 and put this 50 value equal to formula and find the liquid limit for given data.
	Ranjan, 2017, 50 % is the correct answer, interpolation is a wrong method.
	Mudassir, 2017, You are right @Sharda Charan.
	Mohan Dev, 2018, Which one correct (50%) or (65%)?
	Ashu, 2018, It is 61%.
	Kranthi, 2018, 50% is correct.
	Mea, 2018, 65% is the right answer. Just draw the flow curve graph roughly. You will get it easily.
	Loki, 2018, 50.10 is correct and one point method is not applicable because it is valid for 20 to30 blows not for 100 blows.
	Akshay M Raut, 2018, Liquid limit WL is the one which is the water content at 25th blow. So simply interpolation is applied as; $%  $% Log 10 -> 0.7 $% Log 25 -> ? $% Log 100 -> 0.2. $%  $% So I got answer 0.5....i.e. 50%.  $% Is that right?
	Abhay, 2018, You cannot use interpolation because it is semilog graph.
	Ohoud, 2018, LL= water content at 20 blow. $% 100-10/20-70= 100-20/20-LL, $% LL= 64.44.
	Yadav, 2018, Yes, the Correct answer is 50%.
	Maharshi Saxena, 2018, The correct Answer is 50%.
	Kasthuri, 2018, By interpolation with 25 we get the correct answer as 61.67.
	Aita, 2018, Liquid limit(1)=70*(100&div;25)^.121=82.78. $% Liquid limit (2)=20*(10&div;25)^.121=17.90. $% Total =82.78-17.90 =64.88%. $% Say 65%.
	Vicki, 2018, L.L = 70%-50%(0.4) = 50%.
	Maha, 2018, Thanks for the answer @Aakash Karoo.
	Nagendra, 2018, @All. $%  $% The exact Answer was obtained by interpolation of no of blows in logarithmic format right, % of water content. Hence exact Answer is 50.107 So, Option B is Right.
	Shubham V, 2018, Here; $%  $% Water Content W1=70%,No. Of Blows N1=10. $% Water Content W2=20%, No. Of Blows N2=100. $% So For Liquid Limit, $% W(L)=W(Y)(N/25)^1.21. $% So For 1st 2nd Case Respectively, $%  $% W(L)1=70*(10/25)^1.21=23.09. $% W(L)2=20*(100/25)^1.21=107.03. $%  $% So, $% Liquid Limit=23.09+107.03/2=65.
	Ganesh Kawal, 2019, Plot graph liquid limit vs no of the blow. $%  $% From graph. $% (70-20) &div; (100-10)=(LL-20)&div; (100-20), $% Answer is 61. $% Still we assume graph is linear.
	Ashwani Bhandari, 2019, Liquid limit (1) = 70 * (10/25)^0.121 = 62.65. $% Liquid limit (2) =20 * (100/25)^0.121 = 23.65. $% Required limit =62.65-23.65=39. $% Option D is right I think.
	Navya, 2019, Interpolation method is correct method for liquid limit at 25 blows. So the answer is 50%.
	Anoni, 2019, Thank you @Akash.
	Rahi, 2019, 70x(10/25)^0.121 = 62.65378306.  $%  $% Am I right? Thanks.
	Khushi, 2019, How come 0 .121? Please explain.
	Abdul Quader, 2019, N1=10, W1=70% & N2=100, W2=20%. $%  $% WL1 = W1*(N1/25)^0.121 = 70*(10/25)^0.121 = 62.65%, $% WL2 = W2*(N2/25)^0.121 = 20*(100/25)^0.121 = 23.65, $% Required Liquid Limit= WL1 - WL2.  $%                                   = 62.65 - 23.65,  $%                                   = 39%.  $% So, Answer (D) None of These.
	Kishan, 2019, The correct answer is 50%, because we can't apply interpolation to a semilog graph, so need to solve using flow index.
	Shubham, 2019, By interpolation, the correct answer is 50%.
	Faruque Abdullah, 2019, tanβ = 0.121 is for the range of 20 to 30 blows.  $%  $% As the blows number is out of this range this value should be adjusted for the individual case. $% For 20 to 30 blows, tanβ = 20/(30^1.5) = 0.121. $%  $% Case-I: $% tanβ = 10/(25^1.5)=0.08. $% w(LL) = 70 x (10/25)^0.08 = 65.05 which is tends to 65%. $%  $% Case-II: $% tanβ = 100/(25^1.5) = 0.8. $% w(LL) = 20 x (100/25)^0.08 = 60.62 which is close to 65%.
	Kicktony, 2019, Do iteration, with N=25 blows=x. $%  $% (x1,y1) = (10,70), $% (x2,y2) = (100,20), $% (x,y) = (25,LL). $%  $% Substitute the values in below equation. $%  $% (y2-y1)/(x2-x1)=(y-y1)/(x-x1). $% LL=65.
	Rahul, 2019, Go flow index or similarities of traingle and the answer is 50.1.
	Chandu, 2019, The correct Answer is 50.1.
	Avnit, 2019, Flow index = (70-20)/log(100/10) = 50. $% 50 = (W-20)/log(100/25). $% Therefore  W = 50.
	Md. Suruzzaman, 2019, The water content at which soil changes from liquid limit to plastic limit is called liquid limit.
	Prasantambc, 2019, 70% correspond. $%  $% Linear rules:- 70-(((70-20)/(10-100))*(10-25)), $%                       =70-8.33, $%                       =  62.67.
	Pintu Kumar(Govt.Poly Saharsa,Bihar, 2019, Given, $% n1=10, w1=70%. $% n2=100, w2=20%. $%  $% liquid limit(1) = 70*(100÷25)^.121 = 82.78. $% liquid limit(2) = 20*(10÷25)^.121 = 17.90. $%  $% Total = (82.78-17.90) = 65%. $% Ans 65%.
	Hardik, 2019, How to find 4^0.12 without a calculator?
	Biniam, 2019, Using interpolation the liquid limit at 25 no of blow is 61.67%.
	Asutosh, 2020, Liquid Limit= W * (N/25)^0.121. $%  $% Where, $%  $% W = Water content at N blows. $% N = No.of blows. $%  $% Liquid limit = 70*(10/25)^0121 = 89.55%. $% Liquid Limit = 20*(100/25)^0.121 = 23.65%. $% Required liquid limit = 88-23 = 65%.
	Raysz, 2020, (70/20)/(10-100) = (70-W)/(10-25). $% W = 61.67.
	Majid, 2020, =70-50/(log100-log10)*(log25-log10). $%  $% ~~ 50%.
	Anandhu Satheesan, 2020, (25-10)÷(100-25) = (X-70) ÷ (20-X), $% After interpolate X = 61.66%.
	Tanmoy Das, 2020, Liquid Limit = W*(N/25)^0.121. $%  $% Where,  $% W = water content at N blow. $% N = number of the blow. $% Liquid Limit = 70*(10/25)^0.121 =89.55%. $% Liquid Limit = 20*(100/25)^ 0.121 = 23.65%. $% Required Liquid Limit = ( 88-23) = 65%.
	Niva, 2020, Liquid limit-water content by soil with small shear strength.
	Sneha Mathai, 2021, Take log(no of blows) only for finding flow index or for finding liquid limit using a flow index value. $%  $% If the graph is given and we want to find LL, then just do interpolate without taking the log of no of blows. Because we are plotting as such in semilog to get a straight line. $%  $% ie, (70-20)/(100-10) = (LL-20)/(100-25). $% LL = 61.66.
	Hareram Sah, 2021, The formula of liquid limit =w* (N/25) ^0.121. $%  $% Find, LL for each condition and then subtract them. You will get 65% as answer.
	Manjusha Shinde, 2021, LL = w*(N/25)^0.121. $% LL = 70*(100/25)^0.121 = 82.78%. $% LL = 20*(10/25)^0.121 = 17.90%. $% LL = 83 - 18 = 65%.
	Noblen, 2021, 50.10 is the correct answer.  $%  $% It is not a triangle so don't use similar triangles. it is a logarithmic function. interpolate it using ln.
	Dikesh Don, 2021, The correct answer is B) 50%.
	Haseeb, 2021, The Correct Answer is 50%. Flow Index is 50. Flow Index = (w1-w2)/log(N2/N1) = (70-20)/log(100/10) = 50. $%  $% Now, using that Flow Index of 50 and the same formula to find moisture content at 25 No. of blows is 50%. $%  $% Flow Index = (w1-w2)/log(N2/N1),  $% 50 = (w1-20)/log(100/25), $% w1 = 50.1%.



1457. The active earth pressure of a soil is proportional to (where φ is the angle of friction of the soil)
	Prasanta Naskar, 2014, Active earth pressure is directly proportional to cot2 (45° + φ/2) or tan2 (45° - φ/2).
	Astik, 2015, What is this process?
	Zatak, 2015, Active earth pressure =  ka*y*h where ka = (1-sinφ)/(1+sinφ) = tan2(45° - φ/2)
	Tanupa, 2016, What is equation of passive earth pressure?
	Gopalakrishnan, 2016, @Tanupa. Passive earth pressure =  Tan^2(45+ angle\2).
	Abhishikta, 2017, Ka = 1/tan^2(45 + φ/2).
	Yaseen, 2017, Right. Thanks for the given explanation.
	Harshdeep, 2017, Hers, cot^2(45 +B&div;2 ) or by converting cot into tan^2 (90 -45 - B&div;2) = tan^2 (45 - B&div;2).
	Avinash, 2017, Y and h are constants.
	Romy Mehra, 2017, The value. Tan^2 (45 +φ/2) is for passive earth pressure.
	Sanjay, 2017, tan2(45+π/2). $% Where π=angle of friction.
	Akhil, 2017, Active earth pressure = 1/(tan2 (45° + π/2)) = tan2 (45° + π/2) $% ka = 1/ kp.
	Sudipta, 2018, ka=1/tan^2(45°+Φ/2). $% =tan^2(45°+Φ/2). $% =flow value.
	Paul, 2018, What will be for soil at rest?
	Staffana Aishwarya, 2018, Soil at rest K0 = 1 - sinΠ.
	Mahesh, 2019, How to calculate the angle? Please, anyone, tell me.
	Manoj, 2021, According to me, Pa is proportional to cot^2(45+π/2).
	Harsh Shah, 2021, What will be for passive earth pressure of soil? Please explain.



1458. The minimum water content at which the soil just begins to crumble when rolled into threads 3 mm in diameter, is known
	Md A Tiullah, 2013, About 15g of dried soil passing through IS 425 micron is taken for plastic limit determination and is mixed with a sufficient amount of water which would enable to soil mass become plastic enough to be easily shape into a ball. When a diameter of 3 mm is reached, the soil is remolded into a ball. $%  $% The process of making the threat and remolded continuous till the threat at a dia. Of 3 mm, just start crumbling.
	Raghava, 2014, As soon as water added to soil sample and thorough mixing the powdered form of soil mixes with water and forms a tight mass and remains as a plastic form. The limit of changing of plastic mass is known as plastic limit. It's completely known through practical doing instead of reading through books.
	Jagadeesh, 2014, It is the definition of plastic limit.
	Mayank, 2016, It is shrinkage limit.
	Ravi Kumar, 2017, Please give me the correct definition of Plastic limit.
	Indhu, 2017, It is the limit at which soil stops behaving as a plastic material. It can be determined by plastic limit test or thread test.
	Jagriti, 2017, At the beginning of crumbling it's plastic limit but after that it's shrinkage limit.
	Pranjal, 2017, Crumbling means?
	Shubham, 2017, Plastic or shrinkage limit.
	Arya Ashokan, 2017, It's shrinkage limit.
	Ankit, 2018, It's plastic limit.
	Riya Mama, 2018, It's the plastic limit.
	Kasthuri, 2018, It's plastic limit, the water content at which the soil begins to crumble when we form 3mm thread.
	R.G, 2019, Shrinkage limit is correct.
	Vijay K., 2019, It's a plastic limit. I agree with the given answer.
	Je Pankaj, 2019, I think shrinkage limit is correct.
	Nancy, 2019, Plastic limit is the correct answer. I agree.
	Kehomong Lim, 2019, Plastic limit is correct.
	Prakash, 2019, The minimum Water content at which the soil can be rolled into a thread of 3 mm in diameter without crumbling.
	Umair, 2019, You are right @Prakas. $%  $% So, it is a shrinkage limit.
	Dhan Bahadur K.C., 2020, I think, it is a shrinkage limit.
	Mesbah, 2020, The plastic limit is correct because when we perform this test we take the moisture content where the sample is crumbled at 3mm.
	Niva, 2020, Liquid limit - soil contain water with small shear strength. $%  $% Plastic limit -soil contain water in which the soil crumble into 3mm diameter. $%  $% Shrinkage limit-soil contains water 100%. It is fully saturated soil. From shrinkage limit the water content decrease.
	Lokesg, 2021, Plastic limit [Wp]. $%  $% The minimum water content at which the soil can be rolled into a thread of 3mm in diameter without crumbling. It's called THREAD TEST.
	Yograj, 2021, Plastic limit (Wp) is defined as the minimum water content at which soil begins to crumble when rolled into a thread of 3mm dia.



1459. Pick up the correct statement from the following:
	V.Anil Kumar, 2014, Volume of ice is more than volume of water, hence fully saturated soils frost heave is high.
	Parthiban, 2015, Degree of saturation is the ratio between volume of water to volume of voids. Since, this is the fact if the D of S decrease surely magnitude of frost heave will decrease.
	Harpreet Singh, 2016, Rise of ground surface by frost action called frost heave.
	Durgesh, 2017, @Parthiban. $%  $% Please explain how dos and frost heave are related?
	Kasthuri, 2018, All are correct. $%  $% i. The rise of the ground surface is due to frost, so called as frost heave. $% ii. freezing water volume is more than the normal water. $% iii. due to the melting of frost suctions will be formed. $% iv. It can be explained by the relation S= volume of water/total volume if the volume of water reduces, there is frost formation, it results to decrease in magnitude.
	Niva, 2020, Porous means the void is present and water passes through it.



1460. Which one of the following statements is true ?
	Tine, 2014, How can clay be more porous as compared to sand?
	Mayuri Patil, 2014, Porosity of clay is 33-60%. $%  $% And porosity of sand is 20-35%. $%  $% Hence clay is more porous than sand.
	Chandan Ku, 2014, How many type of cement used in construction?
	Biswa, 2014, Water easily pass through sand, but not incase of clay. So how option A is right?
	Vk Kushvaha, 2014, Porosity is inversely proportional of permeability. $%  $% That is porosity of clay >silt >sand > gravel. $%  $% Where as permeability is gravel >sand >silt> clay.
	Bob Rat, 2014, Porosity and permeability are directly proportional. As your porosity increases, so does your permeability. Porosity is related mathematically to your void space as porosity, let's call it p, p = v_v/v_t where v_v is volume of voids and v_t is volume total.  $%  $% If your void space is increased then the ability for water to flow through is also increased because there is more space for fluid to flow naturally. Therefore, Biswas's confusion above is legitimate. This question is improperly worded.
